[0.0,     0.8156, 0.8095, 0.8194, 0.8186, 0.8221, 0.82, 0.8851, 0.9267, 1.0, 0.9254, 0.9005, 0.9708, 0.9685, 0.8372, 0.8399]
[0.8156,  0.0,    0.0081, 0.0038, 0.0172, 0.0114, 0.0043, 0.0533, 0.1217, 0.2066, 0.1047, 0.0755, 0.034, 0.1941, 0.0635, 0.0581]
[0.8095,  0.0081, 0.0, 0.0146, 0.0069, 0.006, 0.0066, 0.047, 0.1122, 0.2141, 0.0897, 0.0652, 0.0275, 0.1998, 0.0481, 0.0491]
[0.8194,  0.0038, 0.0146, 0.0, 0.0184, 0.0191, 0.0081, 0.0433, 0.1137, 0.1799, 0.098, 0.0746, 0.0293, 0.1713, 0.0662, 0.0603]
[0.8186,  0.0172, 0.0069, 0.0184, 0.0, 0.0076, 0.0125, 0.0417, 0.1285, 0.2325, 0.0991, 0.0835, 0.0263, 0.2096, 0.0508, 0.0503]
[0.8221,  0.0114, 0.006, 0.0191, 0.0076, 0.0, 0.0066, 0.0652, 0.1431, 0.2681, 0.1155, 0.0917, 0.0363, 0.2472, 0.0558, 0.0569]
[0.82,    0.0043, 0.0066, 0.0081, 0.0125, 0.0066, 0.0, 0.0438, 0.1168, 0.222, 0.0941, 0.073, 0.0254, 0.1926, 0.068, 0.0581]
[0.8851,  0.0533, 0.047, 0.0433, 0.0417, 0.0652, 0.0438, 0.0, 0.1033, 0.1723, 0.0749, 0.07, 0.0135, 0.1561, 0.0968, 0.0928]
[0.9267,  0.1217, 0.1122, 0.1137, 0.1285, 0.1431, 0.1168, 0.1033, 0.0, 0.0642, 0.014, 0.033, 0.1566, 0.0954, 0.0323, 0.0369]
[1.0,     0.2066, 0.2141, 0.1799, 0.2325, 0.2681, 0.222, 0.1723, 0.0642, 0.0, 0.1, 0.0313, 0.268, 0.0515, 0.0274, 0.032]
[0.9254,  0.1047, 0.0897, 0.098, 0.0991, 0.1155, 0.0941, 0.0749, 0.014, 0.1, 0.0, 0.0197, 0.1353, 0.1222, 0.0429, 0.0505]
[0.9005,  0.0755, 0.0652, 0.0746, 0.0835, 0.0917, 0.073, 0.07, 0.033, 0.0313, 0.0197, 0.0, 0.1503, 0.0642, 0.0566, 0.0656]
[0.9708,  0.034, 0.0275, 0.0293, 0.0263, 0.0363, 0.0254, 0.0135, 0.1566, 0.268, 0.1353, 0.1503, 0.0, 0.2643, 0.1671, 0.1727]
[0.9685,  0.1941, 0.1998, 0.1713, 0.2096, 0.2472, 0.1926, 0.1561, 0.0954, 0.0515, 0.1222, 0.0642, 0.2643, 0.0, 0.056, 0.0487]
[0.8372,  0.0635, 0.0481, 0.0662, 0.0508, 0.0558, 0.068, 0.0968, 0.0323, 0.0274, 0.0429, 0.0566, 0.1671, 0.056, 0.0, 0.0087]
[0.8399,  0.0581, 0.0491, 0.0603, 0.0503, 0.0569, 0.0581, 0.0928, 0.0369, 0.032, 0.0505, 0.0656, 0.1727, 0.0487, 0.0087, 0.0]
